Tabelle: 61131-0002
Index der Einzelhandelspreise: Deutschland, Monate,;;;
Mehrwertsteuer, Wirtschaftszweige;;;
Index der Einzelhandelspreise;;;
Deutschland;;;
Index der Einzelhandelspreise (2020=100);;;
;;;WZ2008 (ausgewählte Positionen)
;;;WZ08-4724 Einzelhandel mit Back- und Süßwaren
Einschließlich Mehrwertsteuer;2012;Januar;88,6
;;Februar;89,1
;;März;89,3
;;April;89,5
;;Mai;89,8
;;Juni;89,9
;;Juli;90,1
;;August;90,1
;;September;90,3
;;Oktober;90,4
;;November;90,8
;;Dezember;90,9
;2013;Januar;91,1
;;Februar;91,4
;;März;91,7
;;April;91,7
;;Mai;91,9
;;Juni;91,9
;;Juli;92,2
;;August;92,2
;;September;92,4
;;Oktober;92,4
;;November;92,6
;;Dezember;92,5
;2014;Januar;92,7
;;Februar;92,8
;;März;92,9
;;April;93,0
;;Mai;93,2
;;Juni;93,3
;;Juli;93,6
;;August;93,8
;;September;93,8
;;Oktober;94,0
;;November;93,9
;;Dezember;94,2
;2015;Januar;94,4
;;Februar;94,5
;;März;94,8
;;April;94,9
;;Mai;94,9
;;Juni;95,0
;;Juli;95,2
;;August;95,0
;;September;94,8
;;Oktober;94,7
;;November;94,7
;;Dezember;94,7
;2016;Januar;94,8
;;Februar;95,0
;;März;95,0
;;April;95,2
;;Mai;95,2
;;Juni;95,4
;;Juli;95,2
;;August;95,3
;;September;95,5
;;Oktober;95,2
;;November;95,6
;;Dezember;95,6
;2017;Januar;95,6
;;Februar;95,7
;;März;95,7
;;April;95,6
;;Mai;95,9
;;Juni;96,1
;;Juli;96,1
;;August;96,0
;;September;96,1
;;Oktober;96,1
;;November;96,3
;;Dezember;96,4
;2018;Januar;96,8
;;Februar;97,0
;;März;96,8
;;April;97,2
;;Mai;97,2
;;Juni;97,5
;;Juli;97,2
;;August;97,4
;;September;97,4
;;Oktober;97,6
;;November;98,0
;;Dezember;98,0
;2019;Januar;98,2
;;Februar;98,5
;;März;98,6
;;April;98,8
;;Mai;99,0
;;Juni;99,1
;;Juli;99,3
;;August;99,5
;;September;99,6
;;Oktober;99,6
;;November;99,7
;;Dezember;99,9
__________
"WZ08-47 Einzelhandel (ohne Handel mit Kraftfahrzeugen):
Ab 2005 Einzelhandel einschließlich Tankstellen.

WZ08-451-03 Kraftfahrzeughandel:
Vor 2005 einschließlich Tankstellen."
© Statistisches Bundesamt (Destatis), 2024
Stand: 28.11.2024 / 13:27:57
